,Cleaned_Agency_Name,Cleaned_Phone,Cleaned_City,State,Cat1,Cat2,Cat3,formatted_address,Latitude,Longitude
1,SAFE HARBOR,(605) 226-1212,ABERDEEN,SD,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","2005 S Merton St, Aberdeen, SD 57401, United States",45.4425659,-98.4597091
2,People Incorporated of SW VA,(276) 623-9000,Abingdon,VA,"Adult Sexual Assault, Adults Molested as Children, Assault, Child Sexual Abuse, Domestic Violence, DUI/DWI Crashes, Elder Abuse, Robbery, Survivors of Homicide Victims",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","1173 W Main St, Abingdon, VA 24210, United States",36.6975253,-82.0138908
3,Crisis Intervention and Advocacy Center,(515) 993-4095,Adel,IA,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","911 Court St, Adel, IA 50003, United States",41.6179475,-94.0194633
4,Instituto Santa Ana,(787) 829-2504,Adjuntas,PR,"Child Sexual Abuse,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Group Treatment, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","Juan González, Adjuntas, Puerto Rico, Adjuntas 00601, Puerto Rico",18.1889015,-66.7188698
5,"Hogar de Niños Regazo de Paz, Inc",(787) 882-3072,Aguadilla,PR,"Child Sexual Abuse,",NA,"Assistance in Filing Compensation Claims, Crisis Counseling, Followup Contact, Group Treatment, Shelter/Safe House, Therapy","Sec Sambrana, Aguadilla Pueblo, Aguadilla 00603, Puerto Rico",18.4453141,-67.0981531
6,Roanoke Chowan SAFE,(919) 332-1933,Ahoskie,NC,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence, Elder Abuse,",Shelter,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral),","123 Loftin Ln S, Ahoskie, NC 27910, United States",36.2966217,-76.9836127
7,"Cumbee Center to Assist Abused Persons, Inc.",(803) 649-0480,Aiken,SC,"Adult Sexual Assault, Child Sexual Abuse, Domestic Violence,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Emergency Legal Advocacy, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","254 Beaufort St NE, Aiken, SC 29801, United States",33.5591211,-81.7017924
8,"Helping Hands, Inc.",(803) 648-3456,Aiken,SC,"Adults Molested as Children, Child Sexual Abuse,",Shelter,"Assistance in Filing Compensation Claims, Shelter/Safe House,","John Elliot Ln, Aiken, SC 29801, United States",33.5669895,-81.7304881
9,"Tu Casa, Inc.",(719) 589-2465,Alamosa,CO,"Adult Sexual Assault, Adults Molested as Children, Child Sexual Abuse, Domestic Violence, Elder Abuse,",NA,"Assistance in Filing Compensation Claims, Criminal Justice Support/Advocacy, Crisis Counseling, Crisis Hotline Counseling, Emergency Financial Assistance, Followup Contact, Group Treatment, Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","202 Carson Ave, Alamosa, CO 81101, United States",37.4713335,-105.8815409
10,"Open Arms, Inc.",(229) 431-1121,Albany,GA,"Child Sexual Abuse,",Shelter,"Assistance in Filing Compensation Claims, Crisis Counseling, Crisis Hotline Counseling, Followup Contact, Group Treatment, Information and Referral (In person), Personal Advocacy, Shelter/Safe House, Telephone Contacts (Information and Referral), Therapy","420 Pine Ave, Albany, GA 31701, United States",31.5781361,-84.1578988
