Name,Specific To Trafficking?,Service Type 1,Service Type 2,Service Type 3,Phone,Emergency Hotline,Website,Email,Address,City,State,Zip Code,Full Address,Lat,Lon,Victim Profile,Bed Capacity,Hours of Operation,Free/Discounted Medical Service? Y/N (Optional),Free/Discounted Housing Service? Y/N (Optional),Free/Discounted Legal Service? Y/N (Optional),Free/Discounted Counseling Service? Y/N (Optional),Free Food Distribution? Y/N (Optional),Notes,Description,International/Domestic
RISE SLO,No,Shelter,Referral,,(805) 226-5400,(855) 886-7473,RISEslo.org,contact@RISEslo.org,51 Zaca Ln. Suite 100,San Luis Obispo,CA,93401,51 Zaca Ln. Suite 100San Luis ObispoCA93401,35.25106,-120.673635,Domestic abuse victims,,Hotline: 24/7. Offices: M-F 9am-5pm,,,,,,"Residents can stay in emergency shelter for a maximum of 30 days with the opportunity to apply for up to two 2-week extensions, for a total of 60 days. Extensions are not guaranteedProvides comprehensive services for victims or Intimate partner violence and child abuse.  Assists human Trafficking victims and witnesses and coordinates services with Community partners. Services include 24 hour crisis line, counseling  and emergency shelter.  Collaborates with Victim/Witness to help victims access and exercise their legal rights
","""RISE is a non-profit 501(c)(3) organization that provides crisis intervention and treatment services to survivors of sexual and intimate partner violence and their loved ones. All services are provided confidentially, at low or no cost, to anyone regardless of age, ethnicity, gender, sexual orientation, religion, or ability. All crisis services are available in Spanish and English.""",Unspecified
Stand Strong - formerly Women's Shelter of San Luis Obispo,No,Shelter,Legal,Medical,(805) 781-6401,(805) 781-6400,https://standstrongnow.org/,infi@standstrongnow.org,51 Zaca Ln #150,San Luis Obispo,CA,93401,51 Zaca Ln #150San Luis ObispoCA93401,35.25106,-120.673635,Domestic abuse victims,6,House are Monday – Friday a.m. 9:00 – 5:00 p.m.,Y,Y,Y,Y,Y,"Do serve trafficking survivors. FREE 4 week self-suffiency program. 30 days to possibly 8 weeks. They have safehouses, legal, medical. Transitional housing; victims can live there for up to 2 years and work on theiir goals (10 units)","""Formerly known as the Women's Shelter Program of San Luis Obispo County, Stand Strong has been serving the community since 1977, when two women in Morro Bay opened up their home to survivors of domestic violence.""",Unspecified
SLO County District Attorney,No,Legal,Referral,,(805) 781-5821,,slocounty.ca.gov,,1035 Palm St,San luis Obispo,CA,93408,"1035 Palm St, San Luis Obispo, CA 93408",35.282922,-120.661148,General,N/A,805-781-5821: victim wintess phone number,Y,Y,Y,Y,N,"Legal assistance + witness protection, counseling services, financial services (to find new homes) for active cases! Also proivde assistance for. Has task force with volunteers with police and social services","""The District Attorney has the mandated responsibility, under Government Code Section 26500 et seq, to investigate, evaluate and prosecute criminal violations committed within the county, to provide legal assistance to criminal investigations conducted by law enforcement agencies operating within the county, and to advise the Grand Jury.""",Both
Central Coast Freedom Network,Yes,Referral,Education,,(844) 322-2236,,http://www.centralcoastfreedomnetwork.org/,admin@centralcoastfreedomnetwork.org,P.O. Box 2635,Pismo Beach,CA,93448,P.O. Box 2635Pismo BeachCA93448,,,Human trafficking victims,,,Y,,Y,Y,Y,"Survivor Support: The CCFN partners with the community to network resources for survivors of labor trafficking, sex trafficking, and commercial sexual exploitation.  Service providers may request resources on behalf of a survivor, or a survivor may directly contact CCFN for assistance. Emergency/Transitional resources offered: Rental support, utility support, groceries, transportation assistance, etc. Ongoing Support: CCFN welcomes requests for tutoring, child care, career development, mentorship, educational support or other. CCFN will facilitate these requests as quickly as possible connecting survivors with screened volunteers or pro-bono or discounted professional services. Community Education: CCFN has provided education to service organizations, faith based groups, business owners, service providers, teachers and youth. CCFN also hosts educational events including an annual conference. Anyone may request a presentation at www.ccfreedomnetwork.org","""The CCFN partners with the community to network resources for survivors of labor trafficking, sex trafficking, and commercial sexual exploitation. Service providers may request resources on behalf of a survivor, or a survivor may directly contact CCFN for assistance.""",Unspecified
Planned Parenthood,No,Medical,,,(888) 898-3806,,https://www.plannedparenthood.org/health-center/california/san-luis-obispo/93401/san-luis-obispo-center-2252-90170,,743 Pismo St,San Luis Obispo,CA ,93401,743 Pismo StSan Luis ObispoCA 93401,35.27676,-120.661697,Sex trafficking victims,,,Y,,,,,,"""Planned Parenthood is one of the nation’s leading providers of high-quality, affordable health care, and the nation’s largest provider of sex education. With or without insurance, you can always come to us for your health care.""",Both
Social Services ,No,Referral,,,(805) 781-5000,,https://www.slocounty.ca.gov/Departments/Social-Services.aspx,,3433 S Higuera St,San Luis Obispo,CA,93401,3433 S Higuera StSan Luis ObispoCA93401,35.2536998,-120.6686551,General,,,,,,,,"for children, and food stamps","""The County of San Luis Obispo Department of Social Services provides public services that promote self-sufficiency, health and well-being. These programs help ensure the protection of children, the elderly and dependent adults, and provide a safety net for individuals and families who need assistance with basic necessities, such as food, housing and health care.""",Both
Casa of Hope ,Yes,Shelter,Education,,(805) 862-5046,,https://www.casaofhope.org/,contact@casaofhope.org,1130 East Clark Avenue Suite 150,Santa Maria,CA,93455,1130 East Clark Avenue Suite 150Santa MariaCA93455,34.863715,-120.416552,Female sex trafficking victims,5,,,Y,Y,Y,Y,3 phases of classes for victims of sexual exploitation,"""CASA of HOPE is a non-profit organization dedicated to supporting women victimized by sex trafficking. We provide a place of safety, healing, and education.Our home-based environment will be a safe place for these young women to heal, gaining back their confidence and dignity.""",Unspecified
Informational Number,No,Referral,,,(805) 549-8989,(800) 549-8989,https://www.pasoschools.org/Page/1067,,,,,,,,,,,24/7,,,,,,"An easy to remember three-digit phone number that brings people and services together. It is a non-emergency telephone number that connects individuals and families with information and community resources, available to more than 90% of those living in the United States.",,
California Rural Legal Assistance,No,Shelter,Legal,Medical,(805) 544-7994,,https://www.crla.org/,info@CRLA.org,"1011 Pacific St., Ste. A",San Luis Obispo,CA,93401,"1011 Pacific St., Ste. ASan Luis ObispoCA93401",35.279678,-120.658963,Low-income individuals,,"Office/phone hours:  Mon., Tues., Thurs., Fri. 1 – 5 p.m.",,,Y,,,"Assists in civil law cases, including public benefits, labor and employment, housing, education and civil rights.  Do not assist with family law or criminal cases
. More detailed:civil legal remedies for sexual assault victims including housing, education, public benefits, employment, immigration and privacy;
outreach strategies that are culturally and linguistically appropriate for farmworkers;
cultural considerations when working with farmworkers;
safety planning particular to farmworkers, including those living in labor camps;
holistic representation of the comprehensive needs of farmworker victims of sexual violence;
basic legal rights of farmworkers; and
knowledge of the agricultural industry including its structure and practices. ","""California Rural Legal Assistance, Inc. (CRLA) is a nonprofit legal service program created to help California's low-income individuals and communities. We represent all types of individuals and communities. We have offices from the Mexican border to Northern California.""",Both
Central Coast Dream Center,Yes,Shelter,,,(805) 868-8831,,https://centralcoastdreamcenter.org/,info@centralcoastdreamcenter.org,2601 Skyway Drive Suite B,Santa Maria,CA,93455,2601 Skyway Drive Suite BSanta MariaCA93455,34.913005,-120.454918,General,,Phone hours:  9:00 a.m. to 6:00 p.m.,,Y,,,Y,"· Short term host home for adult victims of trafficking. Assists with immediate needs, such as food and clothing. ","""We want to see a community free of gang violence, sexual exploitation, and fatherless and motherless children. We want to see lives transformed by the power and love of God.""",Unspecified
